ID,c2,scada,kms,df,im,icm,ls,searchstring,results,Performed 6-10-2021
86,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
87,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
88,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",0,
89,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
90,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
91,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",0,
92,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
93,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",0,
94,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
95,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
96,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
97,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
98,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
99,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",0,
100,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
101,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
102,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
103,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
104,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
105,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
106,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
107,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
108,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
109,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
110,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",0,
111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
112,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",0,
113,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
114,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
115,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
116,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
117,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
118,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
119,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",0,
120,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
121,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
122,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
123,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
124,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
125,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",0,
126,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
127,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
